Sample,ID,Group,Type
X11_Y_H_314_T_resent,314,Y_H,Tumor
X12_hYP7_740_T_resent,740,hYP7_CAR_T,Tumor
X13_Y_H_737_T_resent,737,Y_H,Tumor
X14_hYP7_732_T_resent,732,hYP7_CAR_T,Tumor
X15_Y_H_730_T_resent,730,Y_H,Tumor
X16_hYP7_303_T_resent,303,hYP7_CAR_T,Tumor
X19_CD19_271_S,271,CD19,Spleen
X4_Y_Y_729_T_resent,729,Y_Y,Tumor
X20_CD19_738_S,738,CD19,Spleen
X5_Y_Y_727_T_resent,727,Y_Y,Tumor
X21_CD19_AbTCR_cell,AbTCR,CD19,pre_infusion_T
X6_CD19_738_T_resent,738,CD19,Tumor
X7_CD19_271_T_resent,271,CD19,Tumor
X8_Y_H_305_T_resent,305,hYP7_CAR_T,Tumor
X9_CD19_324_T_resent,324,CD19,Tumor
X10_hYP7_731_T_resent,731,hYP7_CAR_T,Tumor
X1_CD19_314_T_resent,314,CD19,Tumor
X17_CD19_314_S,314,CD19,Spleen
X2_Y_Y_319_T_resent,319,Y_Y,Tumor
X18_CD19_324_S,324,CD19,Spleen
X3_Y_Y_304_T_resent,304,Y_Y,Tumor
